address,classification,details,fone,link,name,position,link_problem,has_instagram,has_facebook,facebook_link,instagram_link
"R. José Joaquim dos Santos, 205","4,3",Escritório de advocacia, (47) 3344-6060 · ,https://www.mugnainiassociados.com.br/equipe.html,Mugnaini Advogados Associados,99,,False,False,,
"R. Jorge Tzaschel, 83","5,0",Escritório de advocacia, (47) 99134-4933 · ,http://www.ferreirafrancaoficial.com.br/,Ferreira França Advocacia & Assessoria Empresarial,100,,True,True,https://www.facebook.com/ferreirafraca,https://www.instagram.com/ferreirafrancaoficial/?hl=pt-br
"R. Cônego Tomás Fontes, 464-480","4,6",Escritório de advocacia, (47) 3348-8009 · ,,Ksm advogados associados,101,,,,,
"Av. Cel. Marcos Konder, 1313 - 10o andar sala 1009","5,0",Advogado, (47) 3348-8845 · ,http://conceicao.adv.br/localizacao/,Conceição Advogados,102,,False,False,,
"R. Carlos Seara, 367","5,0",Escritório de advocacia, (47) 3045-3467 · ,http://www.alvesadvocacia.adv.br/contato.php,Alves Advocacia,103,,False,False,,
"Rua Gil Stein Ferreira, 100 - 804","5,0",Escritório de advocacia, (47) 3045-6888 · ,http://www.fehlauer.adv.br/,Márcio Fehlauer & Advogados,104,True,,,,
"R. José Joaquim dos Santos, 11","5,0",Escritório de advocacia, (47) 3348-3069 · ,,Lausholtz Advogados Associados,105,,,,,
"Av. Cel. Marcos Konder, 1313","5,0",Escritório de advocacia, (47) 2125-0133 · ,http://business.google.com/website/gw,GW,107,,False,False,,
"R. Laguna, 242","4,5",Escritório de advocacia, (47) 3248-0458 · ,http://www.macedowinter.adv.br/,Macedo & Winter Advogados Associados,108,,False,False,,
"R. Uruguai, 311 - sala 02","5,0",Escritório de advocacia, (47) 3075-0710 · ,https://bombogeraldoadv.negocio.site/,Bombo & Geraldo Advogadas,109,,False,False,,
"R. 13 de Maio, 130","5,0",Escritório de advocacia, (47) 3344-0551 · ,,Dr. Rafael R. Bittencourt,110,,,,,
"Rua João Bauer, 88","5,0",Escritório de advocacia, (47) 3349-6036 · ,http://planejamentojuridico.adv.br/,Palma & Trevisan Advogados Associados S/S,113,,True,False,,
"R. Uruguai, 987","4,0",Escritório de advocacia, (47) 3344-3182 · ,http://www.wisbeck.adv.br/localizacao,mirelle cabral wisbeck krieger,114,,False,True,https://www.facebook.com/pages/Wisbeck-Advocacia-Assessoria-Jur%C3%ADdica/344368772410975,
