team_back,team_home,score,datetime
                Ukraine,                Germany,                    1 - 2,2020-03-10 21:10:00
                Algeria,                Ecuador,                    1 - 0,2020-03-10 21:13:00
                Cameroon,                Mexico,                    0 - 0,2020-03-10 21:16:00
                England,                Italy,                    1 - 1,2020-03-10 21:19:00
                Honduras,                Nigeria,                    1 - 0,2020-03-10 21:22:00
                Ghana,                Ecuador,                    1 - 0,2020-03-10 21:25:00
                Russia,                Holland,                    2 - 2,2020-03-10 21:28:00
                France,                Portugal,                    1 - 2,2020-03-10 21:31:00
                Algeria,                Japan,                    1 - 2,2020-03-10 21:34:00
                Chile,                Cameroon,                    1 - 0,2020-03-10 21:37:00
                England,                Greece,                    0 - 1,2020-03-10 21:40:00
                Greece,                Belgium,                    2 - 0,2020-03-10 21:43:00
                Sweden,                Greece,                    0 - 1,2020-03-10 21:46:00
                Iran,                Bosnia H,                    2 - 1,2020-03-10 21:49:00
                Ecuador,                Argentina,                    2 - 0,2020-03-10 21:52:00
                Croatia,                Spain,                    1 - 1,2020-03-10 21:55:00
                South Korea,                Ecuador,                    1 - 2,2020-03-10 21:58:00
                England,                Czech Republic,                    0 - 1,2020-03-10 22:01:00
                Sweden,                Russia,                    4 - 0,2020-03-10 22:04:00
                Ghana,                Germany,                    1 - 2,2020-03-10 22:07:00
                South Korea,                Belgium,                    0 - 2,2020-03-10 22:10:00
                Portugal,                Holland,                    3 - 1,2020-03-10 22:13:00
                France,                Spain,                    2 - 1,2020-03-10 22:16:00
                Republic of Ireland,                Italy,                    2 - 0,2020-03-10 22:19:00
                Poland,                Sweden,                    3 - 1,2020-03-10 22:22:00
                Chile,                Nigeria,                    1 - 0,2020-03-10 22:25:00
                Germany,                France,                    1 - 1,2020-03-10 22:28:00
                England,                Russia,                    3 - 0,2020-03-10 22:31:00
                Croatia,                Chile,                    1 - 1,2020-03-10 22:34:00
                Greece,                Algeria,                    3 - 1,2020-03-10 22:37:00
                Republic of Ireland,                France,                    0 - 0,2020-03-10 22:40:00
                England,                Spain,                    3 - 1,2020-03-10 22:43:00
                Russia,                Ivory Coast,                    2 - 0,2020-03-10 22:46:00
                Germany,                South Korea,                    1 - 1,2020-03-10 22:49:00
                Holland,                Republic of Ireland,                    2 - 1,2020-03-10 22:52:00
                Holland,                Croatia,                    2 - 2,2020-03-10 22:55:00
                Greece,                Republic of Ireland,                    1 - 2,2020-03-10 22:58:00
                Italy,                Croatia,                    1 - 1,2020-03-10 23:01:00
                Croatia,                Denmark,                    0 - 1,2020-03-10 23:04:00
                Czech Republic,                Italy,                    2 - 1,2020-03-10 23:07:00
                Ivory Coast,                England,                    0 - 2,2020-03-10 23:10:00
                Belgium,                Brazil,                    4 - 0,2020-03-10 23:13:00
                Poland,                France,                    2 - 0,2020-03-10 23:16:00
                Italy,                England,                    1 - 0,2020-03-10 23:19:00
                Czech Republic,                Russia,                    1 - 0,2020-03-10 23:22:00
                Russia,                Portugal,                    1 - 3,2020-03-10 23:25:00
                Chile,                Costa Rica,                    2 - 0,2020-03-10 23:40:00
                Brazil,                Uruguay,                    2 - 2,2020-03-10 23:43:00
                Chile,                Germany,                    0 - 1,2020-03-10 23:46:00
                Germany,                Croatia,                    2 - 2,2020-03-10 23:49:00
                Czech Republic,                Republic of Ireland,                    1 - 2,2020-03-10 23:52:00
                Denmark,                France,                    3 - 0,2020-03-10 23:55:00
                England,                Ukraine,                    0 - 0,2020-03-10 23:58:00
                Spain,                Croatia,                    0 - 1,2020-03-11 00:01:00
                South Korea,                Italy,                    1 - 0,2020-03-11 00:04:00
                Italy,                Poland,                    1 - 1,2020-03-11 00:07:00
                Germany,                Honduras,                    1 - 2,2020-03-11 00:10:00
                Russia,                Ghana,                    1 - 1,2020-03-11 00:13:00
                Croatia,                Ghana,                    0 - 0,2020-03-11 00:16:00
                Russia,                Cameroon,                    2 - 0,2020-03-11 00:19:00
                Ghana,                Russia,                    0 - 1,2020-03-11 00:22:00
                Germany,                Republic of Ireland,                    0 - 2,2020-03-11 00:25:00
                Ivory Coast,                Croatia,                    3 - 0,2020-03-11 00:28:00
                Cameroon,                Croatia,                    1 - 1,2020-03-11 00:31:00
                Argentina,                Mexico,                    0 - 0,2020-03-11 00:34:00
                Brazil,                Croatia,                    1 - 3,2020-03-11 00:37:00
                Spain,                Switzerland,                    1 - 0,2020-03-11 00:40:00
